Numder,Content,Link
5,"Middle Python Developer
Опыт 3-6 лет
ТОО AVIATA.KZ
Алматы
Разработка web части сайтов. Разработка REST сервисов. Разработка микросервисов . Разработка клиентов для работы со сторонними API. Написание unit тестов.
Уверенное знание Python и одного из web фреймворков (Django/Sanic/Flask/FastApi и прочие). Умение писать асинхронный код с использование...
Отклик без резюме
Откликнуться",https://spb.hh.ru/applicant/vacancy_response?vacancyId=102267678&hhtmFrom=vacancy_search_list
6,"Django Python Developer
Опыт 1-3 года
Можно удалённо
ООО Гринстер
Минск
Опыт работы с Django/Django REST. Глубокое понимание Django: разрешения, фильтры, Django ORM и т. д.. Понимание работы Celery, опыт...
Откликнуться",https://spb.hh.ru/applicant/vacancy_response?vacancyId=104185794&hhtmFrom=vacancy_search_list
7,"Middle Разработчик Python (Backend)
180 000 – 240 000 ₽ на руки
Опыт 3-6 лет
ООО Корпорация ЗНАК
•Работодатель онлайн
Москва•Савёловская
Разработка и поддержка бэкенд-компонентов модуля ""Честный Знак"". Оптимизация и улучшение производительности существующего кода. Работа в тандеме с другими разработчиками...
Опыт разработки на Python не менее 3 лет, включая опыт работы с фреймворком(и) Flask, Django, FastAPI. Знание принципов ООП.
Откликнуться
Посмотреть контакты",https://spb.hh.ru/applicant/vacancy_response?vacancyId=103792323&hhtmFrom=vacancy_search_list
8,"Python разработчик
от 80 000 ₽ до вычета налогов
Опыт 1-3 года
ООО ПДВ
Ульяновск
Проектировать компоненты систем. Организовывать процесс разработки. Писать и ревьюить код.
Знаешь Python 3 и имеешь опыт промышленной разработки на Python. Имеешь опыт многопоточного и асинхронного программирования. Также имеешь опыт работы...
Откликнуться",https://spb.hh.ru/applicant/vacancy_response?vacancyId=103507464&hhtmFrom=vacancy_search_list
9,"Python-разработчик
200 000 – 220 000 ₽ на руки
Опыт 1-3 года
Можно удалённо
ООО Ритейл-Процессинг
Москва
Доработки платежного сервиса и сервиса SmartKit. Управление облачной инфраструктурой платежного сервиса (Yandex.Cloud, k8s). Настройка мониторингов.
Хорошее знание Python, опыт промышленной разработки от 2 года. Опыт использования одного фреймворков - Django, Flask, FastAPI. Опыт асинхронной разработки, использования...
Откликнуться",https://spb.hh.ru/applicant/vacancy_response?vacancyId=104276440&hhtmFrom=vacancy_search_list
10,"Python - разработчик в AI компанию (удаленно)
150 000 – 150 000 ₽ на руки
Опыт 1-3 года
Университет искусственного интеллекта
•Работодатель онлайн
Санкт-Петербург
Аналитику продаж по каналам трафика (ROMI, CPL). Когортный анализ - как быстро трафик оборачивается в деньги. Аналитика результатов вебинаров - заявки, продажи.
...Python-разработчиком от 1 года. Python 3.7+. Python-библиотеки: Pandas 1.3+, Numpy. Django 2+, Flask...
Откликнуться",https://spb.hh.ru/applicant/vacancy_response?vacancyId=101154908&hhtmFrom=vacancy_search_list
11,"Python-разработчик
до 470 000 ₽ на руки
Опыт 3-6 лет
Точка
•Работодатель онлайн
Москва
Есть возможность работать с kubernetes, consul, vault. Реже используем django и flask. Много асинхронного взаимодействия на rabbitmq, kafka и работы...
Есть опыт работы с Python 3, asyncio (async/await), веб-фреймоворками (aiohttp/fastAPI/flask/Django), ORM (peewee, SQLAlchemy, Django ORM).
Откликнуться",https://spb.hh.ru/applicant/vacancy_response?vacancyId=103482417&hhtmFrom=vacancy_search_list
12,"Middle Python backend developer (FastAPI)
до 150 000 ₽ на руки
Опыт 1-3 года
ООО РА Дельта
Москва
Необходимые навыки: Уверенно владеть Python 3, понимать отличия от Python 2. Иметь опыт работы с FastAPI (с использованием асинхронности) и...
Откликнуться",https://spb.hh.ru/applicant/vacancy_response?vacancyId=102571268&hhtmFrom=vacancy_search_list
13,"Middle / senior fullstack программист на python
Опыт 3-6 лет
ТОО Qozhan Consulting
Алматы
Предстоящие задачи: Разработка на FastAPI/Django. Разработка REST сервисов на DRF. Разработка async сервисов. Разработка клиентов для работы со сторонними...
Опыт коммерческой веб разработки на языке Python (Django, FastAPI, Flask или другие аналоги). Опыт работы с API (REST).
Откликнуться",https://spb.hh.ru/applicant/vacancy_response?vacancyId=103773768&hhtmFrom=vacancy_search_list
14,"Разработчик Python (Senior)
Опыт 3-6 лет
ООО А2 Код
Москва
Разрабатывать и поддерживать облачную платформу. Занĸомство с платформами виртуализации (OpenStack, Vmware Vsphere и т. п.).
...на Python от 3 лет. Знаете про параллельные вычисления и имеете опыт использования библиотеĸи asyncio. Работали с фреймворĸами Django/Flask.
Откликнуться",https://spb.hh.ru/applicant/vacancy_response?vacancyId=103141917&hhtmFrom=vacancy_search_list
